iter	Passed	Remaining
403	9497	14011
404	9519	13984
405	9544	13964
406	9577	13954
407	9604	13936
408	9628	13912
409	9651	13888
410	9677	13868
411	9695	13837
412	9719	13813
413	9740	13786
414	9755	13752
415	9782	13733
416	9808	13712
417	9824	13678
418	9851	13660
419	9867	13626
420	9894	13607
421	9919	13586
422	9942	13561
423	9965	13538
424	9989	13515
425	10018	13499
426	10044	13478
427	10068	13456
428	10087	13426
429	10109	13401
430	10135	13381
431	10162	13361
432	10186	13338
433	10210	13315
434	10236	13295
435	10258	13269
436	10288	13254
437	10321	13243
438	10349	13225
439	10377	13207
440	10409	13194
441	10442	13182
442	10474	13169
443	10504	13154
444	10557	13167
445	10657	13237
446	10706	13245
447	10757	13254
448	10809	13265
449	10854	13267
450	10917	13289
451	10975	13307
452	11032	13321
453	11069	13312
454	11121	13321
455	11158	13311
456	11180	13284
457	11205	13260
458	11226	13231
459	11254	13211
460	11282	13191
461	11308	13169
462	11331	13142
463	11357	13120
464	11389	13103
465	11413	13078
466	11435	13052
467	11461	13028
468	11485	13003
469	11512	12981
470	11530	12950
471	11555	12926
472	11581	12903
473	11602	12875
474	11625	12849
475	11649	12824
476	11671	12797
477	11693	12770
478	11715	12742
479	11739	12717
480	11765	12695
481	11790	12670
482	11811	12642
483	11840	12623
484	11860	12593
485	11889	12574
486	11919	12556
487	11949	12536
488	11978	12517
489	12004	12494
490	12033	12474
491	12059	12451
492	12087	12430
493	12113	12408
494	12139	12385
495	12167	12363
496	12190	12337
497	12213	12311
498	12238	12288
499	12266	12266
500	12286	12237
501	12312	12213
502	12336	12189
503	12358	12162
504	12383	12138
505	12406	12111
506	12432	12089
507	12455	12063
508	12482	12040
509	12506	12015
510	12528	11989
511	12554	11965
512	12583	11945
513	12608	11921
514	12629	11894
515	12657	11872
516	12683	11849
517	12707	11823
518	12727	11795
519	12753	11772
520	12775	11746
521	12800	11721
522	12821	11693
523	12846	11669
524	12865	11640
525	12891	11616
526	12914	11591
527	12936	11564
528	12962	11541
529	12984	11514
530	13009	11490
531	13031	11463
532	13053	11436
533	13072	11407
534	13093	11379
535	13117	11355
536	13143	11332
537	13167	11307
538	13189	11280
539	13213	11255
540	13233	11228
541	13260	11205
542	13282	11178
543	13306	11153
544	13332	11130
545	13352	11102
546	13374	11076
547	13400	11052
548	13425	11029
549	13448	11002
550	13473	10979
551	13499	10956
552	13525	10933
553	13551	10909
554	13574	10883
555	13596	10857
556	13619	10831
557	13645	10809
558	13672	10786
559	13694	10759
560	13716	10733
561	13741	10709
562	13767	10686
563	13794	10663
564	13822	10641
565	13849	10619
566	13871	10592
567	13897	10569
568	13923	10546
569	13947	10521
570	13972	10497
571	13995	10472
572	14013	10443
573	14042	10422
574	14068	10398
575	14096	10376
576	14141	10367
577	14172	10347
578	14199	10324
579	14226	10301
580	14251	10277
581	14279	10255
582	14305	10232
583	14333	10210
584	14363	10189
585	14391	10167
586	14417	10143
587	14441	10118
588	14468	10096
589	14492	10071
590	14517	10046
591	14540	10020
592	14568	9998
593	14585	9969
594	14609	9944
