iter	Passed	Remaining
0	33	66809
1	68	68389
2	97	64980
3	128	64027
4	157	62991
5	188	62536
6	244	69745
7	275	68483
8	300	66375
9	331	65907
10	364	65974
11	395	65532
12	420	64205
13	451	64072
14	482	63881
15	518	64261
16	552	64414
17	581	64052
18	615	64225
19	645	63879
20	671	63275
21	700	62988
22	733	63032
23	765	63031
24	796	62951
25	826	62754
26	853	62395
27	888	62593
28	924	62849
29	959	62985
30	994	63142
31	1024	62991
32	1060	63204
33	1091	63134
34	1126	63259
35	1154	63010
36	1187	63012
37	1428	73731
38	1464	73643
39	1493	73182
40	1520	72643
41	1550	72290
42	1584	72090
43	1607	71456
44	1640	71257
45	1672	71062
46	1703	70793
47	1736	70637
48	1762	70163
49	1786	69678
50	1816	69400
51	1848	69257
52	1876	68927
53	1910	68843
54	1946	68826
55	1972	68489
56	2000	68187
57	2026	67867
58	2053	67555
59	2079	67242
60	2103	66872
61	2137	66823
62	2169	66697
63	2192	66337
64	2222	66162
65	2258	66186
66	2289	66063
67	2320	65939
68	2350	65781
69	2374	65469
70	2404	65324
71	2436	65243
72	2462	64995
73	2488	64774
74	2514	64547
75	2548	64529
76	2576	64339
77	2601	64107
78	2631	63990
79	2661	63868
80	2685	63620
81	2710	63398
82	2735	63173
83	2766	63108
84	2793	62928
85	2823	62847
86	2855	62798
87	2896	62929
88	2929	62891
89	2959	62817
90	2990	62742
91	3022	62693
92	3053	62611
93	3084	62549
94	3113	62434
95	3143	62336
96	3181	62411
97	3217	62440
98	3252	62461
99	3289	62505
100	3322	62475
101	3351	62372
102	3383	62323
103	3416	62294
104	3450	62270
105	3477	62129
106	3504	61992
107	3533	61906
108	3566	61870
109	3595	61770
110	3625	61694
111	3652	61576
112	3680	61455
113	3705	61307
114	3734	61205
115	3763	61130
116	3798	61128
117	3823	60982
118	3857	60968
119	3883	60845
120	3918	60852
121	3954	60872
122	3984	60804
123	4018	60793
124	4054	60817
125	4080	60688
126	4111	60643
127	4147	60653
128	4182	60662
