iter	Passed	Remaining
0	35	70404
1	69	68973
2	97	65214
3	130	65029
4	163	65393
5	195	64936
6	233	66433
7	263	65678
8	297	65870
9	325	64714
10	353	63926
11	381	63156
12	408	62388
13	439	62417
14	468	61968
15	494	61376
16	527	61482
17	556	61315
18	586	61112
19	611	60538
20	637	60089
21	663	59636
22	689	59276
23	719	59261
24	748	59139
25	771	58599
26	796	58190
27	823	57983
28	851	57882
29	874	57447
30	899	57132
31	924	56852
32	954	56877
33	978	56598
34	1009	56683
35	1033	56384
36	1060	56276
37	1091	56336
38	1121	56398
39	1146	56164
40	1171	55996
41	1201	56008
42	1257	57248
43	1291	57407
44	1321	57409
45	1348	57286
46	1371	56977
47	1393	56681
48	1416	56388
49	1444	56350
50	1469	56143
51	1492	55919
52	1518	55787
53	1538	55429
54	1558	55117
55	1581	54914
56	1601	54608
57	1628	54525
58	1652	54368
59	1673	54120
60	1700	54041
61	1723	53882
62	1747	53719
63	1773	53661
64	1794	53422
65	1821	53389
66	1849	53349
67	1871	53168
68	1897	53091
69	1922	53010
70	1949	52967
71	1977	52949
72	2002	52855
73	2027	52769
74	2055	52760
75	2084	52771
76	2110	52713
77	2135	52612
78	2160	52535
79	2189	52549
80	2215	52485
81	2239	52384
82	2265	52322
83	2289	52217
84	2317	52202
85	2339	52071
86	2366	52031
87	2389	51920
88	2413	51830
89	2439	51767
90	2465	51718
91	2487	51590
92	2508	51437
93	2534	51382
94	2556	51271
95	2582	51209
96	2608	51166
97	2634	51121
98	2659	51062
99	2686	51039
100	2714	51037
101	2740	50998
102	2771	51040
103	2802	51092
104	2824	50976
105	2850	50937
106	2878	50929
107	2907	50938
108	2936	50942
109	2968	50999
110	2996	50994
111	3020	50909
112	3049	50921
113	3073	50847
114	3103	50867
115	3133	50885
116	3159	50848
117	3183	50774
118	3213	50802
119	3236	50701
120	3260	50627
121	3286	50596
122	3309	50500
123	3331	50401
124	3357	50369
125	3384	50342
126	3405	50228
127	3433	50219
128	3461	50203
129	3491	50221
130	3516	50176
131	3546	50188
132	3578	50226
133	3608	50254
134	3635	50216
135	3662	50196
136	3691	50196
137	3713	50102
138	3738	50046
139	3760	49958
140	3782	49872
141	3809	49848
142	3835	49813
143	3863	49791
144	3889	49764
145	3911	49676
146	3937	49631
147	3960	49561
148	3983	49486
149	4009	49447
150	4030	49347
151	4055	49300
152	4082	49289
153	4111	49279
154	4134	49210
155	4159	49166
156	4186	49139
157	4211	49100
158	4238	49072
159	4265	49054
160	4294	49057
161	4318	48998
162	4344	48962
163	4373	48964
164	4402	48964
