iter	RMSE
0	101410.3362
1	100598.6988
2	99800.0054
3	99012.45752
4	98233.5728
5	97454.19489
6	96680.09126
7	95916.38691
8	95158.59452
9	94409.76835
10	93676.43659
11	92958.2914
12	92238.1614
13	91530.10539
14	90825.41135
15	90139.62489
16	89457.07676
17	88778.62172
18	88115.77291
19	87451.20021
20	86791.08718
21	86136.04953
22	85498.04236
23	84865.16433
24	84239.35329
25	83621.25757
26	83013.58994
27	82410.00821
28	81802.34105
29	81201.8769
30	80619.07612
31	80045.10791
32	79470.1513
33	78902.28126
34	78347.51461
35	77800.96375
36	77252.58017
37	76712.99017
38	76185.53178
39	75655.04045
40	75128.93665
41	74613.43878
42	74102.63627
43	73583.37487
44	73072.25133
45	72580.6041
46	72084.08403
47	71589.1859
48	71090.46001
49	70610.38304
50	70142.58023
51	69674.81498
52	69201.70309
53	68742.63568
54	68286.6631
55	67832.85339
56	67394.69636
57	66954.41348
58	66513.17257
59	66097.6636
60	65677.19734
61	65251.63974
62	64832.46963
63	64420.17201
64	64013.07011
65	63607.08649
66	63214.77753
67	62824.87706
68	62448.10489
69	62070.86235
70	61690.26955
71	61317.89326
72	60953.28053
73	60595.07191
74	60231.92425
75	59882.54613
76	59524.1374
77	59178.6038
78	58827.78337
79	58482.5425
80	58151.86592
81	57818.06967
82	57490.16881
83	57158.55341
84	56838.60804
85	56522.13768
86	56205.84428
87	55891.67776
88	55580.96946
89	55271.29339
90	54970.047
91	54678.57417
92	54379.8869
93	54087.16399
94	53803.8218
95	53528.71185
96	53243.43666
97	52967.85847
98	52693.89758
99	52423.21219
100	52152.42381
101	51880.18772
102	51615.75365
103	51348.14076
104	51097.64007
105	50847.72763
106	50597.4817
107	50352.3644
108	50111.26117
109	49870.70437
110	49629.95836
111	49388.69381
112	49159.45448
113	48933.54602
114	48709.02374
115	48489.13488
116	48267.49954
117	48045.7481
118	47830.46436
119	47605.67749
120	47393.90735
121	47186.19621
122	46978.35227
123	46780.59633
124	46577.4206
125	46376.34567
126	46176.25995
127	45985.3961
128	45791.87136
129	45599.69684
130	45413.61531
131	45228.07483
132	45043.80403
133	44865.73779
134	44686.04862
135	44510.12942
136	44334.1065
137	44166.33522
138	43991.97319
139	43824.76216
140	43651.63122
141	43490.40531
142	43331.09478
143	43168.89451
144	43009.71641
145	42860.18149
146	42711.14282
147	42553.94787
148	42403.74784
149	42252.98449
150	42104.45874
151	41959.26932
152	41820.18531
153	41680.58541
154	41531.80694
155	41395.53383
156	41259.57995
157	41127.87245
158	40995.69739
159	40868.71702
160	40742.51476
161	40616.28724
162	40486.09788
163	40359.19149
164	40233.75074
165	40105.56071
166	39982.56909
167	39862.36564
168	39746.01524
169	39632.35424
170	39519.55608
171	39398.90666
172	39284.90774
173	39177.52572
174	39066.02802
175	38957.71775
176	38851.81322
177	38740.34011
178	38632.79144
179	38527.02776
180	38423.22746
181	38324.1318
182	38221.6559
183	38122.68935
184	38026.37596
185	37924.68119
186	37825.90348
187	37728.92826
188	37632.54896
189	37534.0504
190	37444.58297
191	37352.42071
192	37257.05088
193	37164.55053
194	37076.3677
195	36994.85546
196	36907.27926
197	36817.02382
198	36732.0667
199	36649.71172
200	36570.39497
201	36488.24867
202	36408.67991
203	36328.58992
204	36246.61958
205	36166.26657
206	36096.53885
207	36019.6608
208	35944.68245
209	35873.7603
210	35802.93157
211	35731.49609
212	35658.9828
213	35592.56582
214	35522.54066
215	35450.88727
216	35382.85796
217	35313.58492
218	35247.51204
219	35181.42456
220	35117.20694
221	35051.97432
222	34987.34196
223	34922.72803
224	34863.65637
225	34805.65647
226	34746.51667
227	34683.57375
228	34626.64919
229	34563.91722
230	34503.51479
231	34445.22943
232	34389.99879
233	34332.91119
234	34282.41074
235	34226.43256
236	34174.43676
237	34118.41112
238	34064.40231
239	34009.17533
240	33953.09955
241	33900.14461
242	33847.85479
243	33798.34061
244	33751.18588
245	33705.85919
246	33657.92071
247	33608.55608
248	33560.64413
249	33513.58272
250	33464.40255
251	33420.14704
252	33376.08192
253	33331.26324
254	33287.98292
255	33244.78951
256	33197.44157
257	33154.90392
258	33114.09295
259	33071.42932
260	33028.79575
261	32986.25076
262	32939.12193
263	32897.93122
264	32857.04343
265	32818.34801
266	32777.26019
267	32736.89215
268	32697.16912
269	32655.26561
270	32619.48657
271	32580.90409
272	32545.60927
273	32509.98952
274	32472.1836
275	32436.65076
276	32395.4622
277	32360.79011
278	32325.71122
279	32291.03558
280	32257.00944
281	32221.72251
282	32186.66101
283	32156.85431
284	32124.10349
285	32090.36888
286	32058.76583
287	32026.25572
288	31995.05828
289	31962.68284
290	31936.89326
291	31908.32703
292	31873.1923
293	31845.3359
294	31817.72203
295	31788.36077
296	31754.73372
297	31722.01984
298	31690.29191
299	31663.5102
300	31630.57624
301	31598.64063
302	31566.00868
303	31537.11153
304	31500.79978
305	31472.49905
306	31444.48118
307	31415.05904
308	31380.55659
309	31350.63032
310	31321.13309
311	31291.24212
312	31259.70755
313	31233.71552
314	31206.13336
315	31178.07692
316	31153.17081
317	31126.83054
318	31101.60606
319	31072.57891
320	31048.21931
321	31021.55943
322	30996.63157
323	30972.85947
324	30952.23377
325	30925.30849
326	30899.41345
327	30873.32499
328	30850.49337
329	30820.62448
330	30799.07899
331	30774.52468
332	30753.33257
333	30736.4023
334	30713.49381
335	30688.7967
336	30663.42398
337	30641.51707
338	30614.33013
339	30588.61332
340	30571.77734
341	30549.12458
342	30526.63396
343	30508.6932
344	30483.26588
345	30460.85437
346	30440.49219
347	30421.50065
348	30404.80817
349	30382.24735
350	30357.92969
351	30335.86353
352	30311.49462
353	30294.02331
354	30271.85838
355	30251.54027
356	30235.15857
357	30218.41038
358	30197.65528
359	30174.92507
360	30155.14644
361	30131.8442
362	30107.65668
363	30085.00069
364	30065.70856
365	30046.71372
366	30030.54962
367	30013.65581
368	29990.01613
369	29969.2445
370	29948.5095
371	29929.41739
372	29911.33312
373	29893.61408
374	29873.23144
375	29856.59083
376	29835.28023
377	29817.84339
378	29797.87573
379	29779.72087
380	29764.97301
381	29750.84282
382	29734.61478
383	29715.46703
384	29694.08887
385	29678.79882
386	29660.18712
387	29645.05927
388	29630.43731
389	29611.82866
390	29599.30315
391	29583.33468
392	29569.10203
393	29545.20306
394	29526.05898
395	29510.22686
396	29495.40546
397	29481.00063
398	29467.29041
399	29452.62652
400	29432.22562
401	29409.12088
402	29389.75447
403	29378.00167
404	29361.51339
405	29348.42054
406	29333.00042
407	29318.4773
408	29299.62324
409	29287.61184
410	29274.61023
411	29256.69021
412	29240.49841
413	29227.86244
414	29215.28153
415	29202.73915
416	29186.82683
417	29168.88957
418	29154.42847
419	29141.61217
420	29128.50712
421	29115.2935
422	29103.83017
423	29089.57506
424	29078.13654
425	29065.34652
426	29049.89718
427	29039.21738
428	29028.15319
429	29017.30945
430	29006.1214
431	28990.45138
432	28976.40364
433	28963.71314
434	28953.54869
435	28944.72006
436	28926.08462
437	28914.76981
438	28905.39404
439	28894.72252
440	28880.20317
441	28866.67628
442	28855.67686
443	28841.55411
444	28830.5296
445	28819.95446
446	28809.55797
447	28792.74112
448	28775.4734
449	28756.83439
450	28746.85204
451	28731.37372
452	28717.1139
453	28708.39259
454	28692.66452
455	28679.39238
456	28668.27852
457	28660.11075
458	28647.33764
459	28638.91386
460	28628.93483
461	28613.32527
462	28599.25484
463	28584.03001
464	28574.18916
465	28557.71499
466	28544.82554
467	28539.37181
468	28529.76656
469	28518.21114
470	28505.24717
471	28494.19455
472	28482.98605
473	28471.86734
474	28458.94888
475	28451.87353
476	28443.27677
477	28431.51485
478	28414.07612
479	28403.04228
480	28393.2265
481	28377.92127
482	28368.94789
483	28360.67567
484	28353.05526
485	28338.93713
486	28325.38462
487	28313.01918
488	28304.98407
489	28292.98645
490	28279.51602
491	28269.16269
492	28258.8055
493	28246.93421
494	28242.45651
495	28230.13671
496	28217.98452
497	28209.57946
498	28200.62579
499	28188.15833
500	28180.7298
501	28168.00481
502	28159.91543
503	28149.75475
504	28140.7883
505	28130.73628
506	28123.91506
507	28111.15146
508	28103.1767
509	28094.85973
510	28086.35081
511	28070.98959
512	28058.31273
513	28049.82045
514	28036.25313
515	28025.23652
516	28012.49963
517	28002.71268
518	27992.58993
519	27984.70441
520	27977.46037
521	27969.77425
522	27959.61724
523	27948.54707
524	27941.26634
525	27933.13416
526	27921.29316
527	27911.73347
528	27898.18544
529	27887.61463
530	27877.2375
531	27870.50152
532	27861.88123
533	27854.71238
534	27846.76742
535	27840.64797
536	27827.55855
537	27818.49948
538	27807.18891
539	27800.18094
540	27789.58296
541	27777.79606
542	27773.00289
543	27761.90647
544	27752.70665
545	27745.86092
546	27736.48458
547	27725.27141
548	27715.51452
