iter	Passed	Remaining
0	42	84694
1	79	78955
2	106	70783
3	136	68265
4	166	66623
5	197	65519
6	231	65781
7	257	64090
8	290	64291
9	317	63202
10	349	63266
11	379	62813
12	407	62330
13	436	61861
14	468	61977
15	496	61513
16	532	62089
17	567	62492
18	601	62668
19	629	62315
20	657	61926
21	684	61551
22	711	61135
23	742	61134
24	775	61226
25	804	61091
26	838	61243
27	870	61285
28	897	61014
29	927	60920
30	960	61033
31	988	60788
32	1016	60559
33	1043	60332
34	1079	60628
35	1106	60338
36	1134	60188
37	1168	60312
38	1201	60409
39	1461	71602
40	1490	71237
41	1518	70768
42	1547	70426
43	1578	70159
44	1607	69818
45	1637	69566
46	1661	69050
47	1693	68878
48	1721	68536
49	1752	68355
50	1779	68004
51	1810	67826
52	1841	67659
53	1872	67486
54	1904	67353
55	1938	67299
56	1971	67187
57	2003	67082
58	2039	67110
59	2074	67089
60	2104	66886
61	2132	66663
62	2168	66670
63	2193	66357
64	2224	66229
65	2256	66117
66	2280	65806
67	2308	65581
68	2334	65319
69	2365	65220
70	2395	65078
71	2420	64820
72	2445	64556
73	2469	64285
74	2497	64112
75	2525	63936
76	2547	63626
77	2578	63542
78	2602	63274
79	2628	63075
80	2650	62802
81	2678	62657
82	2706	62503
83	2733	62355
84	2759	62172
85	2785	61985
86	2811	61821
87	2839	61691
88	2865	61537
89	2892	61394
90	2918	61220
91	2945	61078
92	2974	60991
93	2997	60788
94	3023	60638
95	3052	60542
96	3079	60411
97	3104	60252
98	3137	60248
99	3167	60179
100	3198	60147
101	3224	59993
102	3253	59921
103	3279	59783
104	3308	59703
105	3340	59682
106	3396	60083
107	3424	59985
108	3453	59915
109	3478	59767
110	3502	59613
111	3535	59594
112	3563	59511
113	3589	59389
114	3623	59389
115	3653	59336
116	3688	59358
117	3716	59273
118	3743	59164
119	3771	59093
120	3801	59032
121	3829	58955
122	3859	58896
123	3890	58859
124	3917	58762
125	3948	58721
126	3979	58690
127	4003	58543
128	4030	58455
129	4057	58364
130	4083	58257
131	4110	58173
132	4143	58159
133	4173	58111
134	4203	58063
135	4228	57954
136	4257	57899
137	4287	57846
138	4316	57789
139	4344	57725
140	4370	57617
141	4402	57607
142	4432	57561
143	4464	57536
144	4492	57475
145	4520	57408
146	4551	57376
147	4584	57364
148	4615	57334
149	4645	57299
150	4675	57254
151	4709	57256
152	4739	57218
153	4769	57168
154	4803	57172
155	4835	57152
156	4862	57074
157	4888	56993
158	4916	56923
159	4947	56894
160	4976	56840
161	5011	56854
162	5039	56799
163	5072	56786
164	5097	56689
165	5130	56680
166	5163	56679
167	5195	56654
168	5226	56624
169	5249	56510
170	5275	56424
171	5309	56423
172	5338	56377
173	5369	56351
174	5396	56279
175	5432	56297
176	5458	56216
177	5484	56137
178	5511	56066
179	5533	55945
180	5559	55873
181	5589	55830
182	5618	55782
183	5644	55705
184	5668	55610
185	5693	55525
186	5719	55452
187	5746	55381
188	5775	55336
189	5801	55263
190	5829	55212
191	5854	55132
192	5882	55080
193	5910	55026
194	5941	54998
195	5967	54926
196	5996	54881
197	6029	54878
198	6055	54800
199	6086	54775
200	6115	54731
201	6144	54688
202	6179	54698
203	6207	54649
204	6233	54585
205	6261	54529
206	6288	54469
207	6313	54395
208	6339	54324
209	6369	54295
210	6397	54243
211	6433	54260
212	6459	54191
213	6494	54197
214	6523	54161
215	6555	54143
216	6582	54086
217	6615	54079
218	6642	54019
219	6676	54015
220	6707	53994
221	6738	53966
222	6771	53956
223	6796	53890
224	6822	53824
225	6857	53824
226	6889	53813
227	6922	53800
228	6950	53751
229	6977	53695
230	7003	53632
231	7033	53601
232	7060	53546
233	7089	53503
234	7118	53464
235	7146	53414
236	7168	53321
237	7201	53314
238	7230	53274
239	7260	53245
240	7283	53157
241	7317	53156
242	7350	53145
243	7377	53093
244	7402	53026
245	7437	53027
246	7468	53005
247	7494	52942
248	7522	52901
249	7548	52841
250	7578	52808
251	7616	52831
252	7647	52806
253	7675	52761
254	7708	52748
255	7741	52738
256	7769	52692
257	7795	52637
258	7827	52614
259	7853	52557
260	7885	52538
261	7914	52500
262	7946	52481
263	7975	52443
264	8002	52394
265	8035	52379
266	8062	52328
267	8089	52277
268	8113	52212
269	8144	52187
270	8172	52141
271	8202	52112
272	8229	52062
273	8260	52033
274	8293	52021
275	8317	51954
276	8349	51937
277	8377	51893
278	8403	51837
279	8466	52007
280	8497	51982
281	8525	51940
282	8554	51900
283	8586	51881
284	8618	51864
285	8646	51817
286	8671	51755
287	8702	51730
288	8722	51639
289	8753	51616
290	8785	51593
291	8809	51532
292	8841	51512
293	8864	51436
294	8891	51391
295	8912	51309
296	8941	51272
297	8976	51265
298	9003	51218
299	9031	51179
300	9057	51122
301	9086	51086
302	9111	51032
303	9138	50985
304	9162	50918
305	9189	50871
306	9217	50830
307	9242	50772
308	9258	50669
309	9278	50582
310	9301	50515
311	9324	50446
312	9339	50340
313	9361	50263
314	9376	50159
315	9393	50060
316	9423	50029
317	9442	49946
318	9459	49848
319	9483	49788
320	9501	49699
321	9529	49659
322	9547	49569
323	9572	49517
324	9589	49422
325	9611	49353
326	9631	49278
327	9658	49233
328	9681	49174
329	9706	49120
330	9730	49065
331	9755	49014
332	9782	48973
333	9809	48927
334	9835	48884
335	9864	48850
336	9885	48779
337	9909	48725
338	9929	48653
339	9955	48606
340	9979	48549
341	10008	48522
342	10032	48465
343	10060	48432
344	10089	48400
345	10116	48360
346	10141	48308
347	10166	48261
348	10195	48231
349	10223	48195
350	10247	48142
351	10271	48091
352	10299	48054
353	10328	48024
354	10352	47972
355	10373	47903
356	10389	47813
357	10409	47743
358	10434	47697
359	10462	47661
360	10494	47647
361	10523	47617
362	10548	47568
363	10566	47491
364	10583	47409
365	10608	47363
366	10630	47300
367	10653	47247
368	10678	47198
369	10704	47158
370	10727	47104
371	10757	47078
372	10790	47066
373	10818	47035
374	10838	46968
375	10866	46933
376	10891	46888
377	10911	46822
378	10938	46784
379	10964	46745
380	10992	46711
381	11015	46656
382	11043	46623
383	11065	46565
384	11088	46513
385	11108	46450
386	11134	46406
387	11164	46382
388	11187	46332
389	11219	46316
390	11247	46283
391	11264	46209
392	11291	46169
393	11318	46136
394	11338	46069
395	11367	46043
396	11400	46031
397	11428	46001
398	11456	45969
399	11490	45963
400	11513	45912
401	11538	45867
402	11569	45848
403	11597	45814
404	11626	45789
405	11646	45724
406	11666	45663
407	11690	45617
408	11713	45565
409	11741	45533
410	11767	45495
411	11798	45474
412	11830	45461
413	11855	45417
414	11876	45358
415	11906	45334
416	11933	45300
417	11966	45289
418	11994	45258
419	12022	45227
420	12046	45182
421	12077	45162
422	12110	45150
423	12141	45128
424	12168	45093
425	12195	45059
426	12214	44998
427	12245	44977
428	12279	44966
429	12307	44935
430	12334	44903
431	12367	44889
432	12394	44854
433	12420	44816
434	12451	44797
435	12480	44769
436	12505	44729
437	12531	44688
438	12555	44644
