iter	Passed	Remaining
0	33	66467
1	66	66913
2	95	63372
3	128	63902
4	160	63930
5	186	61886
6	210	59838
7	235	58757
8	267	59068
9	293	58348
10	324	58671
11	350	58072
12	381	58374
13	411	58443
14	437	57939
15	471	58428
16	497	58013
17	526	57987
18	555	57920
19	587	58156
20	619	58390
21	644	57970
22	669	57584
23	697	57390
24	725	57285
25	757	57531
26	789	57672
27	815	57442
28	839	57075
29	871	57258
30	900	57208
31	932	57361
32	974	58077
33	1006	58224
34	1034	58103
35	1060	57857
36	1091	57903
37	1130	58370
38	1165	58600
39	1191	58376
40	1419	67818
41	1452	67715
42	1481	67414
43	1509	67125
44	1538	66819
45	1568	66614
46	1594	66242
47	1626	66145
48	1654	65888
49	1681	65564
50	1713	65488
51	1739	65171
52	1771	65070
53	1800	64896
54	1826	64576
55	1855	64413
56	1881	64127
57	1906	63840
58	1931	63555
59	1954	63210
60	1978	62888
61	2007	62741
62	2036	62600
63	2055	62175
64	2082	62008
65	2109	61804
66	2134	61594
67	2162	61426
68	2185	61167
69	2208	60904
70	2231	60639
71	2261	60546
72	2287	60390
73	2308	60095
74	2335	59948
75	2364	59869
76	2394	59800
77	2417	59576
78	2442	59388
79	2466	59194
80	2491	59023
81	2516	58871
82	2542	58716
83	2569	58600
84	2597	58511
85	2620	58328
86	2643	58134
87	2666	57944
88	2691	57799
89	2719	57720
90	2746	57607
91	2773	57528
92	2798	57387
93	2823	57241
94	2850	57169
95	2876	57050
96	2904	56987
97	2933	56926
98	2956	56765
99	2983	56680
100	3008	56566
101	3030	56392
102	3061	56386
103	3087	56296
104	3113	56200
105	3138	56087
106	3164	55980
107	3190	55887
108	3217	55825
109	3242	55714
110	3270	55665
111	3295	55557
112	3325	55528
113	3351	55442
114	3375	55321
115	3397	55184
116	3423	55104
117	3452	55066
118	3474	54921
119	3499	54829
120	3524	54734
121	3548	54629
122	3578	54607
123	3608	54586
124	3633	54506
125	3658	54415
126	3686	54372
127	3715	54341
128	3741	54268
