iter	Passed	Remaining
402	11626	46073
403	11652	46034
404	11683	46011
405	11713	45989
406	11736	45935
407	11769	45922
408	11798	45895
409	11823	45852
410	11850	45817
411	11877	45780
412	11909	45762
413	11938	45735
414	11966	45703
415	12000	45692
416	12032	45677
417	12061	45648
418	12088	45611
419	12117	45584
420	12149	45568
421	12173	45520
422	12190	45448
423	12217	45412
424	12250	45399
425	12277	45362
426	12305	45330
427	12334	45305
428	12364	45278
429	12388	45231
430	12418	45208
431	12444	45167
432	12477	45156
433	12507	45128
434	12534	45094
435	12553	45032
436	12579	44992
437	12612	44978
438	12640	44947
439	12667	44912
440	12701	44902
441	12729	44871
442	12763	44859
443	12785	44805
444	12812	44771
445	12848	44766
446	12878	44741
447	12904	44703
448	12932	44673
449	12969	44671
450	13001	44653
451	13025	44610
452	13043	44542
453	13072	44516
454	13103	44494
455	13128	44452
456	13156	44421
457	13188	44402
458	13215	44368
459	13245	44343
460	13280	44334
461	13308	44304
462	13335	44270
463	13363	44237
464	13391	44206
465	13420	44176
466	13451	44156
467	13481	44133
468	13512	44108
469	13539	44076
470	13569	44051
471	13600	44027
472	13638	44029
473	13669	44006
474	13697	43976
475	13728	43955
476	13819	44122
477	13933	44364
478	13964	44341
479	13993	44314
480	14029	44305
481	14069	44311
482	14105	44301
483	14129	44256
484	14168	44259
485	14209	44264
486	14243	44250
487	14276	44234
488	14311	44222
489	14338	44185
490	14365	44150
491	14392	44112
492	14414	44062
493	14443	44033
494	14474	44007
495	14504	43982
496	14530	43943
497	14566	43934
498	14605	43933
499	14641	43923
500	14672	43899
501	14697	43858
502	14730	43839
503	14761	43816
504	14789	43783
505	14816	43745
506	14849	43727
507	14877	43694
508	14908	43669
509	14942	43656
510	14976	43640
511	15012	43630
512	15051	43627
513	15079	43596
514	15118	43593
515	15153	43580
516	15188	43568
517	15221	43548
518	15254	43530
519	15286	43508
520	15316	43479
521	15348	43458
522	15375	43421
523	15406	43396
524	15433	43359
525	15461	43326
526	15491	43298
527	15521	43271
528	15544	43224
529	15572	43190
530	15602	43163
531	15635	43143
532	15663	43112
533	15693	43084
534	15719	43044
535	15753	43026
536	15787	43011
537	15820	42991
538	15854	42975
539	15884	42946
540	15914	42920
541	15949	42903
542	15979	42876
543	16007	42843
544	16045	42837
545	16072	42801
546	16104	42778
547	16131	42742
548	16155	42699
549	16184	42669
550	16213	42637
551	16239	42599
552	16265	42561
553	16293	42528
554	16318	42487
555	16343	42446
556	16375	42422
557	16404	42392
558	16439	42377
559	16471	42354
560	16498	42320
561	16526	42286
562	16554	42253
563	16576	42205
564	16607	42180
565	16638	42154
566	16671	42133
567	16698	42099
568	16728	42072
569	16754	42032
570	16782	42000
571	16803	41949
572	16828	41910
573	16847	41854
574	16877	41826
575	16906	41797
576	16932	41759
577	16957	41719
578	16985	41687
579	17012	41650
580	17038	41612
581	17066	41581
582	17095	41551
583	17121	41513
584	17144	41469
585	17179	41453
586	17206	41419
587	17236	41391
588	17270	41373
589	17302	41350
590	17333	41323
591	17357	41282
592	17386	41253
593	17418	41228
594	17451	41208
595	17483	41185
596	17516	41166
597	17545	41136
598	17579	41117
599	17603	41075
600	17656	41101
601	17685	41070
602	17709	41028
603	17740	41002
604	17768	40970
605	17795	40935
606	17829	40916
607	17855	40878
608	17884	40849
609	17915	40823
610	17948	40801
611	17977	40771
612	18007	40745
613	18040	40723
614	18070	40694
615	18101	40670
616	18132	40643
617	18157	40605
618	18190	40583
619	18228	40572
620	18254	40536
621	18287	40514
622	18315	40482
623	18344	40450
624	18375	40426
625	18404	40396
626	18434	40367
627	18460	40331
628	18489	40299
629	18512	40256
630	18534	40211
631	18561	40178
632	18593	40153
633	18614	40105
634	18644	40078
635	18670	40041
636	18701	40015
637	18724	39974
638	18752	39941
639	18781	39910
640	18805	39869
641	18839	39849
642	18872	39828
643	18899	39794
644	18926	39761
645	18961	39743
646	18989	39711
647	19019	39681
648	19049	39653
649	19074	39616
650	19101	39581
651	19133	39557
652	19164	39531
653	19188	39492
654	19219	39465
655	19247	39433
656	19274	39399
657	19303	39369
658	19331	39337
659	19356	39300
660	19381	39261
661	19406	39224
662	19434	39192
663	19468	39170
664	19500	39146
665	19531	39122
666	19565	39101
667	19600	39083
668	19643	39081
669	19674	39055
670	19704	39026
671	19734	38999
672	19762	38966
673	19790	38934
674	19818	38903
675	19843	38864
676	19868	38826
677	19895	38794
678	19923	38761
679	19942	38712
680	19967	38674
