iter	RMSE
0	100394.6902
1	99574.11277
2	98764.66683
3	97963.40726
4	97179.01778
5	96394.0047
6	95617.86665
7	94847.91283
8	94088.53556
9	93340.0359
10	92599.05057
11	91873.5105
12	91151.5156
13	90440.72177
14	89736.98734
15	89047.49275
16	88353.60177
17	87663.66967
18	86982.242
19	86320.16543
20	85657.91193
21	85002.50051
22	84349.80881
23	83712.85706
24	83086.23825
25	82464.07844
26	81849.00359
27	81236.64789
28	80627.75476
29	80019.8342
30	79426.68568
31	78841.3624
32	78264.13129
33	77697.19313
34	77126.92082
35	76583.62855
36	76029.73064
37	75481.03285
38	74929.6345
39	74386.70762
40	73851.61914
41	73318.39879
42	72797.89573
43	72294.41768
44	71785.77402
45	71283.29566
46	70792.50643
47	70314.23038
48	69839.24762
49	69354.37035
50	68885.34029
51	68422.1968
52	67962.07162
53	67505.36634
54	67058.61176
55	66610.47706
56	66174.11157
57	65738.63639
58	65318.78943
59	64896.95447
60	64478.7387
61	64064.41959
62	63648.48383
63	63230.93272
64	62815.38152
65	62406.01436
66	62003.18452
67	61598.31932
68	61201.69076
69	60811.13983
70	60429.46205
71	60046.87286
72	59670.84906
73	59300.54664
74	58938.48006
75	58572.14773
76	58204.1678
77	57846.47616
78	57493.84392
79	57150.27899
80	56803.78635
81	56464.50926
82	56129.66709
83	55799.54117
84	55468.24144
85	55131.42032
86	54816.50655
87	54498.02075
88	54185.06683
89	53875.32263
90	53577.18051
91	53274.63504
92	52978.07476
93	52685.84551
94	52394.4852
95	52107.17689
96	51829.62662
97	51551.32693
98	51272.85847
99	51005.24037
100	50733.86081
101	50462.56649
102	50189.36177
103	49928.29851
104	49673.05108
105	49410.28109
106	49154.919
107	48903.79446
108	48652.31897
109	48406.66973
110	48164.57273
111	47929.68479
112	47694.38201
113	47465.05889
114	47237.43723
115	47001.07015
116	46774.65095
117	46550.62649
118	46330.8934
119	46109.78219
120	45891.26087
121	45677.64037
122	45472.40514
123	45262.59963
124	45057.46789
125	44855.79706
126	44657.0229
127	44462.58115
128	44267.17914
129	44075.17108
130	43879.95877
131	43693.24728
132	43506.24801
133	43321.61499
134	43146.14495
135	42966.72873
136	42787.05567
137	42611.24667
138	42434.47721
139	42266.5065
140	42098.74894
141	41925.49842
142	41756.90977
143	41599.26318
144	41440.435
145	41275.3537
146	41118.39837
147	40967.96472
148	40820.36531
149	40670.46966
150	40523.00457
151	40380.74092
152	40235.75751
153	40090.07766
154	39946.85483
155	39808.59298
156	39672.43452
157	39537.98015
158	39400.28291
159	39262.70414
160	39125.67853
161	38990.35468
162	38862.21106
163	38731.51323
164	38607.84936
165	38481.65975
166	38356.7083
167	38236.28531
168	38116.1999
169	37997.12036
170	37881.50477
171	37768.10421
172	37654.7418
173	37536.78644
174	37420.67011
175	37310.63525
176	37202.62219
177	37091.77898
178	36983.05809
179	36874.22542
180	36770.18171
181	36666.33
182	36564.22602
183	36465.24425
184	36369.82469
185	36267.89033
186	36170.64915
187	36075.87152
188	35983.24421
189	35892.23234
190	35793.00754
191	35700.7769
192	35613.44979
193	35519.34111
194	35433.52676
195	35342.55935
196	35257.35311
197	35172.32899
198	35086.08441
199	35002.64635
200	34920.53864
201	34840.36471
202	34760.15697
203	34685.76547
204	34611.40084
205	34535.16266
206	34456.66396
207	34381.91737
208	34306.13763
209	34235.07983
210	34165.41999
211	34090.87087
212	34020.43743
213	33948.33379
214	33881.06446
215	33810.06961
216	33741.74966
217	33673.71572
218	33609.89423
219	33547.10991
220	33483.89409
221	33420.93382
222	33357.03166
223	33294.15639
224	33230.85217
225	33171.19662
226	33110.61857
227	33048.38167
228	32988.19692
229	32931.42164
230	32872.29073
231	32814.60305
232	32756.45687
233	32702.99328
234	32646.61653
235	32589.62773
236	32534.47057
237	32477.14857
238	32425.12903
239	32374.2607
240	32321.56313
241	32266.09964
242	32214.83334
243	32159.07401
244	32109.53171
245	32059.19616
246	32009.87334
247	31962.00079
248	31910.32124
249	31861.43332
250	31815.71722
251	31765.28971
252	31717.86873
253	31670.18381
254	31623.74438
255	31579.28465
256	31535.58958
257	31491.37928
258	31447.31691
259	31407.4236
260	31365.34467
261	31327.04642
262	31282.77451
263	31242.72672
264	31205.40355
265	31163.32715
266	31123.79544
267	31083.67295
268	31045.79559
269	31005.01873
270	30967.42013
271	30930.90949
272	30892.38207
273	30852.37553
274	30817.399
275	30783.23973
276	30747.92206
277	30711.50144
278	30675.87858
279	30640.58163
280	30604.16116
281	30566.58119
282	30531.68855
283	30498.79396
284	30465.62426
285	30432.66077
286	30399.09821
287	30362.5936
288	30329.87519
289	30296.92136
290	30265.26394
291	30236.97104
292	30206.40888
293	30178.17387
294	30147.6806
295	30120.76803
296	30094.22452
297	30063.17938
298	30028.23518
299	29997.03132
300	29962.18665
301	29927.006
302	29894.47083
303	29863.1627
304	29830.92369
305	29797.70934
306	29766.80235
307	29734.03012
308	29705.87459
309	29672.97651
310	29645.94119
311	29616.7435
312	29587.71091
313	29558.51626
314	29529.43498
315	29503.19295
316	29477.72854
317	29449.12229
318	29423.34717
319	29398.87636
320	29371.72736
321	29345.90664
322	29316.19554
323	29290.58726
324	29265.06576
325	29236.29777
326	29213.61207
327	29188.04909
328	29160.83318
329	29136.87665
330	29115.50678
331	29090.17101
332	29064.98745
333	29043.61877
334	29020.56903
335	28996.93901
336	28974.23551
337	28952.23234
338	28927.79016
339	28906.37009
340	28883.61597
341	28857.98826
342	28834.10763
343	28811.68909
344	28789.56621
345	28768.05726
346	28744.69689
347	28724.15026
348	28704.10319
349	28686.5488
350	28667.08462
351	28649.04837
352	28631.01255
353	28607.4435
354	28587.58663
355	28568.93952
356	28549.00707
357	28532.05325
358	28514.6839
359	28493.87015
360	28475.88641
361	28458.87546
362	28440.47898
363	28419.18883
364	28404.34348
365	28385.7526
366	28372.54257
367	28354.94145
368	28334.24233
369	28317.3162
370	28298.78598
371	28281.24144
372	28265.47496
373	28247.5827
374	28231.35871
375	28216.42862
376	28201.27276
377	28184.00365
378	28169.02468
379	28154.77225
380	28145.77661
381	28127.37764
382	28116.67843
383	28100.35013
384	28085.80391
385	28068.02412
386	28054.27071
387	28044.32894
388	28032.07879
389	28021.87658
390	28008.79233
391	27990.5421
392	27977.30872
393	27962.78337
394	27948.62526
395	27935.00727
396	27920.15668
397	27907.72446
398	27893.70351
399	27881.63221
400	27869.06492
401	27856.03922
402	27847.20323
403	27832.84298
404	27821.05146
405	27805.78645
406	27797.37909
407	27784.46051
408	27770.9684
409	27756.36907
410	27744.50642
411	27732.70757
412	27722.13067
413	27710.32154
414	27696.74315
415	27683.46548
416	27675.98339
417	27661.97793
418	27654.7425
419	27644.01759
420	27633.02632
421	27619.36944
422	27610.45319
423	27600.40945
424	27588.58064
425	27577.65209
426	27566.91479
427	27555.07827
428	27538.7013
429	27528.27471
430	27517.4705
431	27505.65793
432	27492.40698
433	27481.95744
434	27476.40262
435	27465.13748
436	27453.1531
437	27443.5075
438	27433.6506
439	27421.17268
440	27410.70729
441	27404.01652
442	27392.16469
443	27385.8342
444	27376.63559
445	27365.97456
446	27358.07931
447	27348.62774
448	27337.38138
449	27328.12417
450	27319.19892
451	27312.16264
452	27303.81673
453	27292.44801
454	27281.93543
455	27273.58945
456	27265.37283
457	27247.45534
458	27232.49177
459	27224.13702
460	27213.89791
461	27202.80368
462	27196.94111
463	27178.66963
464	27170.2248
465	27159.9203
466	27153.94032
467	27145.37756
468	27137.42658
469	27128.96584
470	27121.13313
471	27102.85303
472	27093.16444
473	27084.45898
474	27076.67127
475	27070.34918
476	27064.76934
477	27054.85248
478	27043.19172
479	27031.09977
480	27023.61687
481	27016.50252
482	27005.88336
483	26993.72808
484	26984.04321
485	26977.75788
486	26971.80119
487	26963.97372
488	26953.83131
489	26945.06886
490	26937.0805
491	26927.22439
492	26914.78052
493	26903.17402
494	26896.9435
495	26885.11062
496	26872.62548
497	26863.8108
498	26854.90581
499	26845.40737
500	26836.14842
501	26829.24911
502	26822.54052
503	26811.20052
504	26802.28559
505	26791.13906
506	26784.99723
507	26776.40579
508	26769.9839
509	26758.98794
510	26749.00122
511	26741.53822
512	26733.63689
513	26728.26745
514	26722.38674
515	26714.59877
516	26706.54926
517	26695.72594
518	26690.25359
519	26683.18761
520	26672.90721
521	26665.16108
522	26657.25705
523	26648.99617
524	26639.39063
525	26628.13528
526	26618.89442
527	26611.03344
528	26601.23951
529	26588.81326
530	26577.60878
531	26566.09138
532	26558.27109
533	26551.3541
534	26542.65043
535	26535.1017
536	26523.51869
537	26517.99603
538	26511.20596
539	26505.0423
540	26494.11195
541	26486.65591
542	26481.02018
543	26471.55342
544	26463.81537
545	26455.77196
546	26450.97341
547	26442.58362
548	26433.52118
549	26422.94393
550	26416.90676
551	26406.3046
552	26397.39308
553	26391.3993
554	26382.82197
555	26377.36879
556	26372.55216
557	26359.15498
558	26352.00636
559	26345.66011
560	26334.53463
561	26326.11658
562	26319.12809
563	26313.38801
564	26306.67902
565	26300.91515
566	26293.32951
567	26287.60128
568	26278.23327
569	26272.18563
570	26260.25302
571	26254.76827
572	26247.91178
573	26238.82047
574	26233.12112
575	26226.68051
576	26218.22752
577	26209.13252
578	26203.00089
579	26192.87791
580	26185.31456
581	26178.56522
582	26172.2388
583	26164.96097
584	26155.34175
585	26150.68006
586	26145.4428
587	26139.93627
588	26133.79114
589	26128.5757
590	26121.22117
591	26113.42043
592	26108.18233
593	26103.89724
594	26096.52356
595	26091.60383
596	26086.77793
597	26081.31484
598	26076.24041
599	26068.41995
600	26060.99022
601	26052.86019
602	26043.82626
603	26039.33698
604	26035.45414
605	26025.68397
606	26018.46146
607	26009.4078
608	26004.35739
609	25999.76766
610	25995.34764
611	25988.31894
612	25978.97091
613	25974.79512
614	25969.69221
615	25962.13112
616	25957.60492
617	25951.98519
618	25946.90065
619	25939.24854
620	25934.5402
621	25931.66975
622	25926.86969
623	25918.41177
624	25915.76804
625	25910.45419
626	25901.76052
627	25895.18909
628	25891.27387
629	25883.16438
630	25874.55995
631	25867.14694
632	25862.28277
633	25855.62996
634	25848.63148
635	25838.12356
636	25831.942
637	25825.38046
638	25820.2117
639	25809.81672
640	25806.19806
641	25801.70957
642	25796.53971
643	25789.84609
644	25782.50336
645	25778.33855
646	25773.29958
647	25764.95546
648	25760.26968
649	25755.53298
650	25748.58107
651	25741.72537
652	25735.94503
653	25729.33603
654	25724.05562
655	25720.5629
656	25716.10376
657	25713.1103
658	25707.30695
659	25700.59978
660	25694.55276
661	25686.53212
662	25682.68527
663	25678.13204
664	25674.05808
665	25667.85079
666	25663.84326
667	25656.37516
668	25650.07109
669	25643.59094
670	25637.75689
671	25632.30521
672	25627.46629
673	25622.36619
674	25614.599
675	25609.12649
676	25602.64665
677	25597.74372
678	25594.81267
679	25588.62787
680	25582.66199
681	25576.5882
682	25568.08518
683	25563.54346
684	25558.69331
685	25552.27658
686	25548.56586
687	25544.70894
688	25539.42772
689	25529.82633
690	25523.29691
691	25518.95499
692	25513.64297
693	25506.74816
694	25501.43179
695	25497.71793
696	25493.43019
697	25487.13938
698	25480.59113
699	25476.63605
700	25474.1885
701	25469.16599
702	25464.3713
703	25456.33479
704	25450.22917
705	25446.26459
706	25441.66168
707	25437.0724
708	25432.48291
709	25428.07919
710	25424.0653
711	25420.44775
712	25414.69049
713	25408.87627
714	25403.83708
715	25399.76338
716	25392.72095
717	25386.7837
718	25383.10828
719	25377.63731
720	25372.90732
721	25368.4769
722	25363.97289
723	25359.21451
724	25355.07362
725	25350.07515
726	25346.185
727	25342.00566
728	25338.92269
729	25334.98128
730	25330.78363
731	25326.92032
732	25321.7759
733	25318.43215
734	25313.94726
735	25312.00802
736	25306.85786
737	25301.89979
738	25297.14396
739	25291.59715
740	25287.89529
741	25282.50538
742	25276.06028
743	25272.30016
744	25268.31826
745	25263.29205
746	25257.00093
747	25252.00725
748	25247.65918
749	25242.29814
750	25237.63324
751	25233.76045
752	25229.74812
753	25222.65621
754	25219.58412
755	25215.55363
756	25210.53832
757	25205.88227
758	25201.84287
759	25195.39136
760	25190.56463
761	25187.58567
762	25183.65264
763	25178.55812
764	25174.30377
765	25170.8211
766	25166.1202
767	25162.25751
768	25159.04679
769	25154.81756
770	25149.7881
771	25145.73772
772	25141.415
773	25136.97332
774	25131.74559
775	25129.73794
776	25125.28798
777	25121.63109
778	25117.41876
779	25113.15563
780	25110.21047
781	25108.283
782	25103.30302
783	25101.50371
784	25097.80601
785	25092.58405
786	25088.56043
787	25085.09827
788	25080.18363
789	25075.82277
790	25069.87296
791	25066.94528
792	25061.42482
793	25056.76807
794	25053.71929
795	25049.20502
796	25043.64648
797	25040.26552
798	25037.24098
799	25032.95049
800	25028.64816
801	25024.30771
802	25018.41309
803	25013.53417
804	25007.26878
805	25002.42614
806	24998.4187
807	24994.40687
808	24991.06785
809	24988.00097
810	24981.50967
811	24979.83365
812	24974.4899
813	24970.47367
814	24963.43367
815	24958.9861
816	24953.91636
817	24951.39672
818	24947.57628
819	24944.13741
820	24940.52406
821	24937.67104
822	24934.03853
823	24927.91272
824	24923.72378
825	24919.12011
826	24913.66827
827	24909.66367
828	24905.42229
829	24901.77068
830	24898.22137
831	24894.5183
832	24891.59536
833	24887.7599
834	24885.27651
835	24881.29031
836	24875.79083
837	24874.04821
838	24869.93696
839	24866.85338
840	24863.74418
841	24859.4035
842	24856.39873
843	24851.89558
844	24847.53082
845	24844.56069
846	24840.4057
847	24835.69435
848	24831.64134
849	24826.40458
850	24821.40745
851	24818.9918
852	24813.68871
853	24809.60831
854	24805.29398
855	24801.32399
856	24798.52509
857	24794.12712
858	24791.65006
859	24788.7995
